한자ID,한자,음,뜻,유사어(syn),반대어(ant)
"244","悲","비","슬플","","喜|樂"
"245","樂","락(악/요)","즐길","喜","悲|苦"
"246","幸","행","다행","福",""
"248","親","친","친할","交|友",""
"249","國","국","나라","邦",""
"250","王","왕","임금","主|君","民|臣"
"251","民","민","백성","人|者","君|王"
"252","君","군","임금","主|王","民|臣"
"253","臣","신","신하","","君|王"
"254","政","정","정사","治|理",""
"255","治","치","다스릴","政|理",""
"256","兵","병","병사","軍",""
"257","軍","군","군대","兵",""
"258","戰","전","싸움","爭|鬪","和"
"259","社","사","모일","會",""
"260","會","회","모일","合|社|集",""
"262","共","공","한가지","同","各"
"263","法","법","법","典|度|式|律",""
"266","正","정","바를","直","反"
"267","姓","성","성","名",""
"268","市","시","저자","京|邑",""
"269","商","상","장사","業",""
"273","役","역","부릴","使|勞",""
"274","勞","로","일할","事|工|役|業",""
"276","集","집","모을","合|會","分|別"
"280","章","장","글","文|書",""
"282","號","호","이름","名",""
"284","訓","훈","가르칠","敎|育",""
"285","習","습","익힐","學|課",""
"286","理","리","다스릴","政|治",""
"287","術","술","재주","才",""
"288","變","변","변할","化",""
"289","化","화","될","變",""
"290","合","합","합할","共|同|會|集","分|別"
"291","別","별","다를/나눌","分|區|班|部","合|同|集"
"292","各","각","각각","每","共"
"293","全","전","온전","","半"
"294","先","선","먼저","","後"
"297","便","편(변)","편할","安",""
"298","同","동","한가지","共|合","別"
"299","少","소","적을","","多"
"305","事","사","일","勞|業",""
"306","午","오","낮","","夜"
"307","安","안","편안","便|和|平","苦"
"308","每","매","매양","各",""
"309","活","활","살","存|生","死"
"311","空","공","빌","無","有"
"314","光","광","빛","明|陽",""
"315","分","분","나눌","別|區|班|部","合|集"
"316","功","공","공","成",""
"318","反","반","돌이킬/돌아올","","正|直"
"319","和","화","화할","安|平","戰"
"322","急","급","급할","速",""
"323","成","성","이룰","功",""
"324","才","재","재주","術",""
"325","明","명","밝을","光",""
"327","淸","청","맑을","","濁"
"333","等","등","무리","級",""
"335","部","부","떼","分|別",""
"336","交","교","사귈","親",""
"337","例","례","법식","度|式|法",""
"338","勝","승","이길","克","敗"
"339","區","구","구분할/지경","分|別",""
"340","園","원","동산","庭",""
"341","多","다","많을","","少"
"342","太","태","클","大","小"
"345","度","도(탁)","법도","例|式|法",""
"346","式","식","법","例|度|法",""
"347","強","강","강할","","弱"
"350","本","본","근본","基|根",""
"358","畫","화(획)","그림","圖|畵",""
"360","綠","록","푸를","靑",""
"361","者","자","사람","人|民",""
"364","速","속","빠를","急",""
"366","陽","양","볕","光",""
"367","史","사","역사","傳|記|錄",""
"368","傳","전","전할","史|記|錄",""
"369","錄","록","기록할","史|書|記",""
"370","典","전","법/책","書|法",""
