7급,同,한가지,동
7급,少,적을,소
7급,旗,기,기
7급,植,심을,식
7급,歌,노래,가
7급,然,그럴,연
7급Ⅱ,方,모,방
7급Ⅱ,直,곧을,직
7급Ⅱ,時,때,시
7급Ⅱ,江,강,강
7급Ⅱ,氣,기운,기
7급Ⅱ,家,집,가
7급Ⅱ,孝,효,효
7급Ⅱ,男,사내,남
7급Ⅱ,子,아들,자
7급Ⅱ,名,이름,명
7급Ⅱ,手,손,수
7급Ⅱ,足,발,족
7급Ⅱ,力,힘,력
7급Ⅱ,場,마당,장
7급Ⅱ,上,윗,상
7급Ⅱ,下,아래,하
7급Ⅱ,前,앞,전
7급Ⅱ,後,뒤,후
7급Ⅱ,左,왼,좌
7급Ⅱ,右,오를/오른,우
7급Ⅱ,內,안,내
7급Ⅱ,間,사이,간
7급Ⅱ,道,길,도
7급Ⅱ,記,기록할,기
7급Ⅱ,話,말씀,화
7급Ⅱ,答,대답,답
7급Ⅱ,食,밥/먹을,식
7급Ⅱ,工,장인,공
7급Ⅱ,物,물건,물
7급Ⅱ,車,수레,거(차)
7급Ⅱ,立,설,립
7급Ⅱ,動,움직일,동
7급Ⅱ,世,인간,세
7급Ⅱ,平,평평할,평
7급Ⅱ,正,바를,정
7급Ⅱ,姓,성,성
7급Ⅱ,市,저자,시
7급Ⅱ,農,농사,농
7급Ⅱ,漢,한수/한나라,한
7급Ⅱ,全,온전,전
7급Ⅱ,不,아닐,불
7급Ⅱ,事,일,사
7급Ⅱ,午,낮,오
7급Ⅱ,安,편안,안
7급Ⅱ,每,매양,매
7급Ⅱ,活,살,활
7급Ⅱ,海,바다,해
7급Ⅱ,空,빌,공
7급Ⅱ,自,스스로,자
7급Ⅱ,電,번개,전
6급,番,차례,번
6급,朝,아침,조
6급,晝,낮,주
6급,夜,밤,야
6급,野,들,야
6급,樹,나무,수
6급,根,뿌리,근
6급,黃,누를,황
6급,孫,손자,손
6급,頭,머리,두
6급,目,눈,목
6급,病,병,병
6급,向,향할,향
6급,席,자리,석
6급,郡,고을,군
6급,京,서울,경
6급,路,길,로
6급,級,등급,급
6급,言,말씀,언
6급,米,쌀,미
6급,衣,옷,의
6급,服,옷,복
6급,行,다닐,행(항)
6급,遠,멀,원
6급,近,가까울,근
6급,使,하여금/부릴,사
6급,開,열,개
6급,死,죽을,사
6급,在,있을,재
6급,古,예,고
6급,美,아름다울,미
6급,苦,쓸,고
6급,溫,따뜻할,온
6급,感,느낄,감
6급,愛,사랑,애
6급,親,친할,친
6급,禮,예도,례
6급,銀,은,은
6급,章,글,장
6급,號,이름,호
6급,訓,가르칠,훈
6급,習,익힐,습
6급,合,합할,합
6급,別,다를/나눌,별
6급,交,사귈,교
6급,例,법식,례
6급,勝,이길,승
6급,區,구분할/지경,구
6급,園,동산,원
6급,多,많을,다
6급,太,클,태
6급,失,잃을,실
6급,定,정할,정
6급,度,법도,도(탁)
6급,式,법,식
6급,強,강할,강
6급,待,기다릴,대
6급,族,겨레,족
6급,本,근본,본
6급,朴,성(姓),박
6급,李,오얏/성(姓),리
6급,永,길,영
6급,油,기름,유
6급,洋,큰바다,양
6급,特,특별할,특
6급,由,말미암을,유
6급,畫,그림,화(획)
6급,石,돌,석
6급,綠,푸를,록
6급,者,사람,자
6급,英,꽃부리,영
6급,通,통할,통
6급,速,빠를,속
6급,醫,의원,의
6급,陽,볕,양
6급Ⅱ,計,셀,계
6급Ⅱ,第,차례,제
6급Ⅱ,半,반,반
6급Ⅱ,短,짧을,단
6급Ⅱ,高,높을,고
6급Ⅱ,角,뿔,각
6급Ⅱ,今,이제,금
6급Ⅱ,昨,어제,작
6급Ⅱ,雪,눈,설
6급Ⅱ,風,바람,풍
6급Ⅱ,果,실과,과
6급Ⅱ,童,아이,동
6급Ⅱ,身,몸,신
6급Ⅱ,體,몸,체
6급Ⅱ,藥,약,약
6급Ⅱ,堂,집,당
6급Ⅱ,窓,창,창
6급Ⅱ,庭,뜰,정
6급Ⅱ,界,지경,계
6급Ⅱ,業,업,업
6급Ⅱ,班,나눌,반
6급Ⅱ,書,글,서
6급Ⅱ,讀,읽을,독(두)
6급Ⅱ,圖,그림,도
6급Ⅱ,表,겉,표
6급Ⅱ,聞,들을,문
6급Ⅱ,意,뜻,의
6급Ⅱ,飮,마실,음
6급Ⅱ,運,옮길,운
6급Ⅱ,發,필,발
6급Ⅱ,作,지을,작
6급Ⅱ,用,쓸,용
6급Ⅱ,放,놓을,방
6급Ⅱ,始,비로소,시
6급Ⅱ,新,새,신
6급Ⅱ,弱,약할,약
6급Ⅱ,樂,즐길,락(악/요)
6급Ⅱ,幸,다행,행
6급Ⅱ,信,믿을,신
6급Ⅱ,戰,싸움,전
6급Ⅱ,社,모일,사
6급Ⅱ,會,모일,회
6급Ⅱ,公,공평할,공
6급Ⅱ,共,한가지,공
6급Ⅱ,利,이할,리
6급Ⅱ,注,부을,주
6급Ⅱ,集,모을,집
6급Ⅱ,代,대신할,대
6급Ⅱ,題,제목,제
6급Ⅱ,音,소리,음
6급Ⅱ,理,다스릴,리
6급Ⅱ,術,재주,술
6급Ⅱ,各,각각,각
6급Ⅱ,光,빛,광
6급Ⅱ,分,나눌,분
6급Ⅱ,功,공,공
6급Ⅱ,勇,날랠,용
6급Ⅱ,反,돌이킬/돌아올,반
6급Ⅱ,和,화할,화
6급Ⅱ,對,대할,대
6급Ⅱ,形,모양,형
6급Ⅱ,急,급할,급
6급Ⅱ,成,이룰,성
6급Ⅱ,才,재주,재
6급Ⅱ,明,밝을,명
6급Ⅱ,消,사라질,소
6급Ⅱ,淸,맑을,청
6급Ⅱ,現,나타날,현
6급Ⅱ,球,공,구
6급Ⅱ,省,덜,성(생)
